Town;Area (Km²);Latitude;Longitude;NUTS_2;NUTS_3;InsPowMW_20150131;InsPowMW_20150228;InsPowMW_20150331;InsPowMW_20150430;InsPowMW_20150531;InsPowMW_20150630;InsPowMW_20150731;InsPowMW_20150831;InsPowMW_20150930;InsPowMW_20151031;InsPowMW_20151130;InsPowMW_20151231;InsPowMW_20160131;InsPowMW_20160229;InsPowMW_20160331;InsPowMW_20160430;InsPowMW_20160531;InsPowMW_20160630;InsPowMW_20160731;InsPowMW_20160831;InsPowMW_20160930;InsPowMW_20161031;InsPowMW_20161130;InsPowMW_20161231;InsPowMW_20170131;InsPowMW_20170228;InsPowMW_20170331;InsPowMW_20170430;InsPowMW_20170531;InsPowMW_20170630;InsPowMW_20170731;InsPowMW_20170831;InsPowMW_20170930;InsPowMW_20171031;InsPowMW_20171130;InsPowMW_20171231;InsPowMW_20180131;InsPowMW_20180228;InsPowMW_20180331;InsPowMW_20180430;InsPowMW_20180531;InsPowMW_20180630;InsPowMW_20180731;InsPowMW_20180831;InsPowMW_20180930;InsPowMW_20181031;InsPowMW_20181130;InsPowMW_20181231;InsPowMW_20190131;InsPowMW_20190228;InsPowMW_20190331;InsPowMW_20190430;InsPowMW_20190531;InsPowMW_20190630;InsPowMW_20190731;InsPowMW_20190831;InsPowMW_20190930;InsPowMW_20191031;InsPowMW_20191130;InsPowMW_20191231;InsPowMW_20200131;InsPowMW_20200229;InsPowMW_20200331;InsPowMW_20200430;InsPowMW_20200531;InsPowMW_20200630;InsPowMW_20200731;InsPowMW_20200831;InsPowMW_20200930;InsPowMW_20201031;InsPowMW_20201130;InsPowMW_20201231
Abenójar;423.4;38.88;-4.45;ES42;ES422;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33;5.33
Abertura;62.7;39.26;-5.81;ES43;ES432;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975;19.975
Abezames;23.3;41.64;-5.43;ES41;ES419;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025
Abia de las Torres;27.2;42.44;-4.42;ES41;ES414;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018;0.018
Abiego;38.2;42.14;-0.07;ES24;ES241;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07
Ablitas;77.5;41.96;-1.59;ES22;ES220;9.305;9.305;9.305;9.305;9.305;9.305;9.305;9.305;9.305;9.305;9.305;9.305;9.305;9.305;9.305;9.305;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31;9.31
Abrera;20.0;41.52;1.91;ES51;ES511;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806;3.806
Abusejo;23.1;40.71;-6.14;ES41;ES415;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049;1.049
Acedera;82.3;39.07;-5.59;ES43;ES431;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Acehúche;91.1;39.80;-6.64;ES43;ES432;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
