Town;Area (Km²);Latitude;Longitude;NUTS_2;NUTS_3;InsPowMW_20150131;InsPowMW_20150228;InsPowMW_20150331;InsPowMW_20150430;InsPowMW_20150531;InsPowMW_20150630;InsPowMW_20150731;InsPowMW_20150831;InsPowMW_20150930;InsPowMW_20151031;InsPowMW_20151130;InsPowMW_20151231;InsPowMW_20160131;InsPowMW_20160229;InsPowMW_20160331;InsPowMW_20160430;InsPowMW_20160531;InsPowMW_20160630;InsPowMW_20160731;InsPowMW_20160831;InsPowMW_20160930;InsPowMW_20161031;InsPowMW_20161130;InsPowMW_20161231;InsPowMW_20170131;InsPowMW_20170228;InsPowMW_20170331;InsPowMW_20170430;InsPowMW_20170531;InsPowMW_20170630;InsPowMW_20170731;InsPowMW_20170831;InsPowMW_20170930;InsPowMW_20171031;InsPowMW_20171130;InsPowMW_20171231;InsPowMW_20180131;InsPowMW_20180228;InsPowMW_20180331;InsPowMW_20180430;InsPowMW_20180531;InsPowMW_20180630;InsPowMW_20180731;InsPowMW_20180831;InsPowMW_20180930;InsPowMW_20181031;InsPowMW_20181130;InsPowMW_20181231;InsPowMW_20190131;InsPowMW_20190228;InsPowMW_20190331;InsPowMW_20190430;InsPowMW_20190531;InsPowMW_20190630;InsPowMW_20190731;InsPowMW_20190831;InsPowMW_20190930;InsPowMW_20191031;InsPowMW_20191130;InsPowMW_20191231;InsPowMW_20200131;InsPowMW_20200229;InsPowMW_20200331;InsPowMW_20200430;InsPowMW_20200531;InsPowMW_20200630;InsPowMW_20200731;InsPowMW_20200831;InsPowMW_20200930;InsPowMW_20201031;InsPowMW_20201130;InsPowMW_20201231
Amoroto;13.1;43.32;-2.51;ES21;ES213;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Ampolla (L');35.6;40.81;0.69;ES51;ES514;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075;0.075
Amposta;138.6;40.68;0.64;ES51;ES514;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305;1.305
Ampuero;32.5;43.33;-3.42;ES13;ES130;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
Amurrio;96.3;43.03;-2.97;ES21;ES211;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131;0.131
Amusco;78.9;42.15;-4.44;ES41;ES414;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Anaya de Alba;37.0;40.73;-5.49;ES41;ES415;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37;0.37
Ancín;9.5;42.66;-2.19;ES22;ES220;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003
Andavías;23.1;41.60;-5.85;ES41;ES419;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Andilla;142.6;39.81;-0.80;ES52;ES523;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Andoain;27.2;43.22;-2.01;ES21;ES212;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119;0.119
Andorra;141.4;41.01;-0.43;ES24;ES242;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896;0.896
Andosilla;51.5;42.38;-1.95;ES22;ES220;0.762;0.762;0.762;0.762;0.762;0.762;0.762;0.762;0.762;0.762;0.762;0.762;0.762;0.762;0.762;0.762;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767;0.767
Andújar;965.0;38.22;-4.05;ES61;ES616;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78;7.78
Anglesola;23.7;41.66;1.06;ES51;ES513;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231;0.231
Anguiano;90.9;42.25;-2.77;ES23;ES230;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008;0.008
Anna;21.4;39.01;-0.66;ES52;ES523;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285;0.285
Anoeta;4.1;43.17;-2.08;ES21;ES212;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Añover de Tajo;1.9;39.98;-3.77;ES42;ES425;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008;2.008
Ansoáin;99.7;42.84;-1.64;ES22;ES220;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015
Antas;17.6;37.25;-1.95;ES61;ES611;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122;1.122
Antella;748.0;39.10;-0.60;ES52;ES523;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035;0.035
Antequera;54.7;37.04;-4.58;ES61;ES617;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141;7.141
Antigua (La);27.7;42.18;-5.69;ES41;ES413;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
Antzuola;40.3;43.10;-2.38;ES21;ES212;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012;0.012
Aracena;184.4;37.87;-6.56;ES61;ES615;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Arahal;201.1;37.20;-5.57;ES61;ES618;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Arakil;53.8;42.91;-1.87;ES22;ES220;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Arama;1.3;43.06;-2.16;ES21;ES212;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12
Aramaio;73.0;43.05;-2.59;ES21;ES211;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015
Arancón;77.8;41.78;-2.25;ES41;ES417;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4
Aranda de Duero;127.3;41.69;-3.68;ES41;ES412;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;1.964;2;2;2
Arandilla;26.7;41.73;-3.43;ES41;ES412;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004
Aranguren;40.6;42.77;-1.57;ES22;ES220;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26
Aranjuez;189.1;39.99;-3.68;ES30;ES300;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585;2.585
Arantzazu;3.5;43.15;-2.79;ES21;ES213;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Aras de los Olmos;76.0;39.93;-1.15;ES52;ES523;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Arbeca;58.2;41.54;0.94;ES51;ES513;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283;2.283
Arbizu;14.5;42.93;-2.04;ES22;ES220;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039;0.039
Arbo;42.7;42.12;-8.32;ES11;ES114;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023
Arboç (L');14.2;41.27;1.61;ES51;ES514;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08
